,2,4,5,6,7,8,3,10,9,1
April,7020,8800,5750,7865,3410,3695,3495,2405,7240,6155
June,8640,9665,10065,9050,4130,5550,6515,3460,4680,6520
December,4600,2630,6060,7990,3620,8275,2335,1950,6090,4025
October,3040,1565,3100,8820,2075,3610,9465,3455,7155,5925
March,1250,7455,5085,10825,5095,5485,5250,4310,5650,5150
September,5350,7100,2890,5775,5480,4685,10695,3605,2665,5000
February,6080,3845,4265,7630,3725,3060,5985,2905,4655,6330
January,6625,8630,7535,5800,6500,2750,4060,3750,3265,5765
August,5065,1550,4005,9825,3615,9220,2675,400,2800,6455
May,5865,2065,4630,10300,4940,8235,6690,3425,6345,7345
November,2380,6395,3100,10325,8590,2475,6075,3230,3950,4260
July,3365,4425,4815,6175,5115,6915,10865,755,2630,6940
